Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Hecho Simultaneos,Tipo de Arma,Tipo de Implicado (2),No Victimas Fatales,Combatientes,Poblacion Civil,Lesionado,Fuente,
22,2,2001,Cauca,El Tambo,Cabecera Municipal,Pillaje,,Guerrilla-FARC,,,,,Noche y Niebla # 19 Pp. 128,
23,2,2001,Tolima,San Antonio,Cabecera Municipal,Bienes Civiles,Cilindros Bomba,Guerrilla-FARC,2,2,,,Noche y Niebla # 19 Pp. 129,
9,3,2001,Narino,San Pablo,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Cilindros Bomba,Guerrilla-FARC,7,7,,1,Noche y Niebla # 19 Pp. 160,
20,3,2001,Arauca,Arauca,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 19 Pp. 181,
31,3,2001,Cauca,Almaguer,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 19 Pp. 205,
1,4,2001,Tolima,Natagaima,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,2,Noche y Niebla # 20 Pp. 37,
14,4,2001,Narino,Funes,Cabecera Municipal,Bienes Civiles,Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 20 Pp. 59,
24,4,2001,Casanare,Paz de Ariporo,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,1,1,,,Noche y Niebla # 20 Pp. 77,
1,5,2001,Meta,Fuente de Oro,Cabecera Municipal,Bienes Civiles y Lesionado,Fusiles y Cilindro Bomba,Guerrilla-FARC,3,3,,7,Noche y Niebla # 20 Pp. 96,
10,5,2001,Narino,La Cruz,Cabecera Municipal,Bienes Civiles y Lesionado,Morteros y Cilindros Bomba,Guerrilla-FARC,,,,3,Noche y Niebla # 20 Pp. 114,
20,5,2001,Antioquia,Penol,Cabecera Municipal,Bienes Civiles,Fusiles y Artefactos Explosivos,Guerrilla-ELN,,,,,Noche y Niebla # 20 Pp. 136,
6,6,2001,Huila,Algeciras,Cabecera Municipal,Bienes Civiles,Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 20 Pp. 176,
19,6,2001,Cundinamarca,Arbelaez,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Granadas y Cilindros Bomba,Guerrilla-FARC,2,2,,2,Noche y Niebla # 20 Pp. 199,
29,6,2001,La Guajira,Villanueva,Cabecera Municipal,Bienes Civiles,Fusiles y Artefactos Explosivos,Guerrilla No Identificada,,,,,Noche y Niebla # 20 Pp. 213,
2,7,2001,Arauca,Saravena,Cabecera Municipal,,Fusiles y Cilindro Bomba,Guerrilla No Identificada,,,,,Noche y Niebla # 21 Pp. 27,
21,7,2001,Cauca,Bolivar,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Rockets y Cilindros Bomba,Guerrilla-FARC y ELN,,,,1,Noche y Niebla # 21 Pp. 62,
27,7,2001,Caqueta,San Jose de Fragua,Cabecera Municipal,,,Guerrilla-FARC,1,1,,,Noche y Niebla # 21 Pp. 73,
28,7,2001,Caqueta,Belen de los Andaquies,Cabecera Municipal,"Bienes Civiles, Pillaje y Secuestro",Cilindros Bomba,Guerrilla-FARC,6,6,,,Noche y Niebla # 21 Pp. 75,
11,8,2001,Tolima,Santa Isabel,IP San Rafael,,,Guerrilla-FARC,,,,,Noche y Niebla # 21 Pp. 109,
17,8,2001,Sucre,Los Palmitos,Cabecera Municipal,Bienes Civiles y Secuestro,Cilindros Bomba,Guerrilla-FARC,2,2,,,Noche y Niebla # 21 Pp. 123,
21,8,2001,Meta,San Juan de Arama,Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 21 Pp. 131,
